SEVERITY,MAX_AGE,SEX
1,17,0
1,49,0
1,15,0
1,25,0
1,69,0
1,70,0
1,15,0
2,49,0
2,49,0
2,49,0
2,49,0
2,39,0
2,39,0
2,39,0
2,39,0
2,39,0
2,39,0
2,49,0
2,49,0
2,15,0
2,39,0
2,49,0
2,49,0
2,49,0
2,49,0
2,49,0
2,49,0
2,49,0
2,49,0
2,49,0
2,49,0
2,59,0
2,59,0
2,49,0
2,70,0
2,39,0
2,59,0
2,25,0
2,25,0
2,25,0
2,25,0
2,25,0
2,25,0
2,25,0
2,25,0
2,25,0
2,25,0
2,29,0
2,29,0
2,29,0
2,39,0
2,29,0
2,29,0
2,29,0
2,29,0
2,29,0
2,29,0
2,29,0
2,29,0
2,39,0
2,39,0
2,39,0
2,39,0
2,39,0
2,39,0
2,29,0
2,59,0
2,59,0
2,25,0
2,69,0
2,69,0
2,69,0
2,69,0
2,69,0
2,69,0
2,69,0
2,69,0
2,69,0
2,69,0
2,69,0
2,70,0
2,70,0
2,69,0
2,70,0
2,70,0
2,70,0
2,70,0
2,70,0
2,70,0
2,70,0
2,70,0
2,70,0
2,70,0
2,70,0
2,70,0
2,70,0
2,70,0
2,70,0
2,59,0
2,69,0
2,69,0
2,59,0
2,59,0
2,59,0
2,64,0
2,64,0
2,64,0
2,64,0
2,64,0
2,64,0
2,64,0
2,64,0
2,64,0
2,64,0
2,69,0
2,64,0
2,64,0
2,64,0
2,64,0
2,64,0
2,69,0
2,69,0
2,69,0
2,69,0
2,69,0
2,69,0
2,69,0
2,69,0
2,69,0
2,64,0
2,25,0
2,70,0
2,17,0
2,15,0
2,17,0
2,15,0
2,21,0
2,15,0
2,21,0
2,17,0
2,17,0
2,17,0
2,17,0
2,17,0
2,17,0
2,17,0
2,21,0
2,15,0
2,17,0
2,15,0
2,21,0
2,15,0
2,21,0
2,21,0
2,15,0
2,21,0
2,21,0
2,15,0
2,15,0
2,21,0
2,15,0
2,15,0
2,17,0
2,21,0
2,17,0
2,15,0
2,21,0
2,21,0
2,21,0
2,17,0
2,15,0
2,15,0
2,15,0
2,15,0
2,17,0
2,21,0
2,17,0
2,15,0
2,21,0
2,15,0
2,17,0
2,17,0
2,15,0
2,17,0
2,17,0
3,69,0
3,64,0
3,64,0
3,59,0
3,64,0
3,64,0
3,64,0
3,59,0
3,59,0
3,64,0
3,64,0
3,64,0
3,59,0
3,59,0
3,64,0
3,64,0
3,64,0
3,17,0
3,59,0
3,64,0
3,64,0
3,64,0
3,64,0
3,17,0
3,64,0
3,17,0
3,64,0
3,64,0
3,64,0
3,17,0
3,64,0
3,17,0
3,17,0
3,59,0
3,17,0
3,64,0
3,64,0
3,17,0
3,17,0
3,59,0
3,64,0
3,64,0
3,64,0
3,59,0
3,17,0
3,59,0
3,64,0
3,64,0
3,21,0
3,15,0
3,15,0
3,70,0
3,15,0
3,70,0
3,70,0
3,15,0
3,15,0
3,70,0
3,15,0
3,70,0
3,70,0
3,70,0
3,70,0
3,15,0
3,70,0
3,15,0
3,70,0
3,69,0
3,70,0
3,70,0
3,15,0
3,70,0
3,15,0
3,70,0
3,70,0
3,70,0
3,15,0
3,70,0
3,70,0
3,70,0
3,70,0
3,70,0
3,15,0
3,70,0
3,15,0
3,70,0
3,69,0
3,15,0
3,15,0
3,69,0
3,69,0
3,69,0
3,15,0
3,69,0
3,69,0
3,69,0
3,69,0
3,69,0
3,59,0
3,69,0
3,69,0
3,15,0
3,69,0
3,15,0
3,15,0
3,15,0
3,69,0
3,15,0
3,69,0
3,69,0
3,69,0
3,15,0
3,15,0
3,69,0
3,69,0
3,69,0
3,15,0
3,15,0
3,69,0
3,15,0
3,69,0
3,69,0
3,15,0
3,69,0
3,59,0
3,59,0
3,59,0
3,21,0
3,21,0
3,29,0
3,29,0
3,29,0
3,29,0
3,29,0
3,21,0
3,29,0
3,29,0
3,21,0
3,21,0
3,29,0
3,29,0
3,21,0
3,21,0
3,29,0
3,21,0
3,39,0
3,39,0
3,21,0
3,29,0
3,21,0
3,29,0
3,29,0
3,29,0
3,29,0
3,29,0
3,29,0
3,29,0
3,29,0
3,29,0
3,29,0
3,29,0
3,29,0
3,29,0
3,25,0
3,25,0
3,25,0
3,25,0
3,25,0
3,25,0
3,25,0
3,25,0
3,25,0
3,21,0
3,25,0
3,25,0
3,25,0
3,25,0
3,21,0
3,21,0
3,21,0
3,39,0
3,25,0
3,25,0
3,25,0
3,21,0
3,25,0
3,21,0
3,25,0
3,25,0
3,25,0
3,25,0
3,25,0
3,25,0
3,25,0
3,25,0
3,21,0
3,25,0
3,25,0
3,21,0
3,59,0
3,39,0
3,39,0
3,49,0
3,49,0
3,49,0
3,49,0
3,49,0
3,49,0
3,49,0
3,49,0
3,49,0
3,49,0
3,49,0
3,49,0
3,49,0
3,17,0
3,17,0
3,17,0
3,49,0
3,49,0
3,59,0
3,17,0
3,59,0
3,59,0
3,59,0
3,59,0
3,59,0
3,17,0
3,21,0
3,59,0
3,17,0
3,59,0
3,17,0
3,17,0
3,17,0
3,49,0
3,49,0
3,49,0
3,49,0
3,39,0
3,39,0
3,39,0
3,39,0
3,21,0
3,39,0
3,39,0
3,21,0
3,39,0
3,21,0
3,39,0
3,21,0
3,21,0
3,39,0
3,21,0
3,39,0
3,39,0
3,39,0
3,39,0
3,49,0
3,49,0
3,49,0
3,21,0
3,39,0
3,39,0
3,39,0
3,39,0
3,39,0
3,39,0
3,21,0
3,21,0
3,39,0
3,21,0
3,39,0
3,39,0
3,39,0
