UNPROTECTED,SPEED_ZONE,MAX_AGE,SEX,LIGHT_CONDITION,severity_index,SEVERITY
1,100,4,0,1,8,1
1,80,4,0,1,4,1
1,100,4,1,1,9,1
1,80,4,1,5,12,1
1,100,4,0,1,11,1
1,100,4,1,1,13,1
1,100,4,0,1,8,1
1,80,4,1,1,9,1
1,100,4,0,2,5,1
1,100,4,0,1,8,1
1,100,12,0,1,11,1
1,100,12,0,1,8,1
1,100,12,1,2,5,1
1,110,12,1,2,13,1
1,100,12,0,1,11,1
1,80,12,1,1,7,1
1,80,12,1,3,6,1
1,80,12,1,1,3,1
1,100,12,0,1,8,1
1,80,12,1,1,3,1
1,100,12,1,5,7,1
1,80,12,1,1,15,1
1,110,12,1,2,13,1
1,80,12,1,3,13,1
1,80,12,1,5,6,1
1,100,12,1,1,7,1
1,100,12,1,5,54,1
1,100,12,1,1,11,1
1,100,12,0,2,12,1
1,100,12,1,5,6,1
1,100,12,0,1,13,1
1,100,12,0,1,8,1
1,110,12,1,1,7,1
1,100,12,0,1,8,1
1,80,12,1,5,6,1
1,110,12,1,2,13,1
1,100,12,1,1,8,1
1,100,12,0,5,54,1
1,100,12,1,1,15,1
1,110,12,1,5,5,1
1,80,12,0,5,12,1
1,100,12,1,1,12,1
1,100,12,0,1,15,1
1,100,15,0,1,8,1
1,100,15,1,1,14,1
1,100,15,0,1,12,1
1,80,15,0,1,8,1
1,80,15,0,1,5,1
1,80,15,1,3,13,1
1,100,15,0,5,10,1
1,100,15,1,1,12,1
1,100,15,0,5,54,1
1,100,15,1,1,15,1
1,100,15,0,1,7,1
1,80,15,1,5,4,1
1,100,15,0,5,5,1
1,100,15,0,1,14,1
1,80,15,0,3,5,1
1,100,15,0,1,12,1
1,100,15,1,1,7,1
1,80,15,1,3,12,1
1,80,15,1,3,4,1
1,100,15,0,1,5,1
1,80,15,1,1,5,1
1,80,15,1,3,9,1
1,80,15,0,3,12,1
1,80,15,1,1,3,1
1,100,15,1,1,14,1
1,80,15,1,3,13,1
1,100,15,1,5,10,1
1,100,15,1,1,12,1
1,110,15,0,1,7,1
1,100,15,0,1,12,1
1,100,15,0,1,5,1
1,80,15,0,3,13,1
1,100,15,0,1,11,1
1,80,15,0,5,6,1
1,80,15,1,1,4,1
1,80,15,0,5,5,1
1,100,17,1,5,6,1
1,110,17,0,1,3,1
1,100,17,1,5,7,1
1,100,17,0,2,8,1
1,100,17,1,1,3,1
1,80,17,1,1,19,1
1,110,17,1,1,3,1
1,80,17,1,3,4,1
1,80,17,1,3,12,1
1,80,17,1,3,13,1
1,80,17,1,1,14,1
1,100,17,1,5,9,1
1,80,17,1,1,16,1
1,100,17,1,2,4,1
1,80,17,0,1,16,1
1,100,17,1,1,10,1
1,80,17,1,3,9,1
1,100,17,0,5,6,1
1,100,17,1,5,9,1
1,100,17,1,5,6,1
1,100,17,0,1,4,1
1,100,17,1,1,3,1
1,100,17,1,2,6,1
