SPEED_ZONE,ACCIDENT_TYPE,severity_index
30,2,3
40,8,3
40,2,3
40,2,3
40,2,3
40,2,3
40,2,3
40,2,5
40,2,3
40,2,3
40,2,3
40,2,3
40,2,3
40,2,3
40,2,6
40,2,5
40,2,4
40,2,3
40,2,3
40,2,3
40,2,3
40,2,3
40,2,3
40,9,3
40,2,3
40,2,3
50,2,3
50,2,3
50,9,3
50,2,3
50,2,3
50,2,3
50,2,3
50,2,3
50,2,3
50,7,3
50,2,3
50,8,3
50,8,3
50,8,3
50,2,5
50,2,3
50,7,3
50,2,3
50,2,3
50,2,3
50,8,3
50,2,3
50,2,3
50,2,4
50,8,3
50,2,3
50,2,3
50,2,3
50,2,3
50,2,3
50,8,3
50,8,3
50,2,5
50,2,3
50,8,3
50,2,3
50,2,5
50,2,3
50,7,5
50,2,5
50,5,3
50,2,3
50,2,3
50,2,4
50,2,4
50,7,3
50,2,3
50,2,3
50,2,3
50,7,4
50,2,3
50,2,3
50,2,3
50,2,3
50,2,3
50,2,3
50,2,3
50,2,3
50,2,3
50,2,4
50,2,3
50,2,3
50,2,3
50,2,27
50,2,4
50,2,3
50,2,3
50,2,3
50,2,5
50,2,3
50,2,4
50,2,3
50,2,3
50,2,3
50,2,3
50,2,3
50,2,3
50,2,3
50,2,4
50,2,3
50,2,9
50,2,4
50,2,3
50,2,3
50,2,3
50,7,3
50,2,4
50,2,4
50,2,4
50,2,4
50,2,3
50,2,3
50,2,3
50,2,3
50,2,3
50,2,4
50,8,3
50,7,3
50,2,3
50,2,3
50,2,3
50,2,3
50,2,3
60,2,3
60,2,4
60,2,4
60,2,4
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,4
60,2,3
60,2,3
60,2,5
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,7,3
60,2,3
60,2,4
60,2,3
60,2,4
60,2,3
60,2,3
60,2,3
60,2,3
60,2,5
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,5,3
60,2,3
60,2,3
60,2,3
60,2,4
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,4
60,2,3
60,2,3
60,2,4
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,4
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,4
60,2,3
60,2,3
60,2,3
60,7,3
60,2,3
60,2,3
60,7,3
60,2,3
60,2,3
60,2,5
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,4
60,2,3
60,2,5
60,2,3
60,2,3
60,2,3
60,2,3
60,2,5
60,2,3
60,2,3
60,2,3
60,2,3
60,2,5
60,2,3
60,2,3
60,2,3
60,2,3
60,2,4
60,2,3
60,8,3
60,2,3
60,2,3
60,2,4
60,2,5
60,2,5
60,2,4
60,2,3
60,2,3
60,2,3
60,5,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,6
60,2,3
60,2,5
60,2,4
60,2,4
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,5
60,2,3
60,2,3
60,2,5
60,7,3
60,2,3
60,2,3
60,2,5
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,5
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,5
60,2,3
60,2,4
60,2,3
60,2,3
60,8,3
60,2,3
60,2,3
60,2,4
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,4
60,2,3
60,2,3
60,2,3
70,7,3
70,2,3
70,7,3
70,2,3
70,2,3
70,2,3
70,2,3
70,2,3
70,2,4
70,2,4
70,2,3
70,2,3
70,2,3
70,2,3
70,2,5
70,2,3
70,8,3
70,2,3
70,2,3
70,2,3
70,2,3
70,2,5
70,2,3
70,2,3
70,2,4
70,2,5
70,2,3
70,2,3
70,2,4
70,2,4
70,2,3
70,2,3
70,2,3
70,2,3
70,2,3
80,5,5
80,2,3
80,2,3
80,2,3
80,2,3
80,2,3
80,2,17
80,2,4
80,2,3
80,2,3
80,2,3
80,5,3
80,8,3
80,5,6
80,2,3
80,5,3
80,2,3
80,2,3
80,2,4
80,2,3
80,5,3
80,2,5
80,2,3
80,2,3
80,8,5
80,2,4
80,2,4
80,2,3
80,2,3
80,2,3
80,2,3
80,5,9
80,2,4
80,8,3
80,2,3
80,2,3
80,2,3
80,2,3
80,8,3
80,2,3
80,2,3
80,2,3
80,2,3
80,2,5
80,2,5
80,2,3
