person
ACCIDENT_NO,PERSON_ID,VEHICLE_ID,SEX,AGE_GROUP,INJ_LEVEL,INJ_LEVEL_DESC,SEATING_POSITION,HELMET_BELT_WORN,ROAD_USER_TYPE,ROAD_USER_TYPE_DESC,LICENCE_STATE,TAKEN_HOSPITAL,EJECTED_CODE
T20250000606,A,A,M,40-49,3,Other injury,D,9,2,Drivers,V,,0
T20240012104,2,A,M,26-29,4,Not injured,OR,6,2,Drivers,,,
T20240012104,1,,M,22-25,3,Other injury,NA,8,1,Pedestrians,,N,0
T20240015196,1,B,F,50-59,3,Other injury,D,9,16,E-scooter Rider,V,N,1
T20240012414,1,A,F,26-29,3,Other injury,LF,9,3,Passengers,,N,0
T20240011040,A,A,U,Unknown,4,Not injured,NK,9,9,Not Known,Z,,9
T20240011040,1,,F,60-64,3,Other injury,NA,8,1,Pedestrians,,,0
T20240001586,1,A,F,18-21,4,Not injured,LF,9,3,Passengers,,,0
T20200004467,1,A,M,16-17,3,Other injury,LF,9,3,Passengers,,Y,
T20200004467,B,B,M,22-25,4,Not injured,D,9,2,Drivers,V,,
T20200004467,A,A,F,50-59,3,Other injury,D,9,2,Drivers,V,Y,
T20200008868,1,,M,30-39,2,Serious injury,NA,8,1,Pedestrians,,Y,0
T20200007833,A,A,M,50-59,2,Serious injury,D,9,6,Bicyclists,V,Y,1
T20190018772,A,A,F,22-25,4,Not injured,D,1,2,Drivers,V,,0
T20190018772,B,B,F,18-21,4,Not injured,D,1,2,Drivers,V,,0
T20190018772,1,A,F,18-21,2,Serious injury,LF,1,3,Passengers,,Y,0
T20240001586,2,A,F,16-17,4,Not injured,OR,9,3,Passengers,,,0
T20240001586,4,A,M,5-12,4,Not injured,OR,9,3,Passengers,,,0
T20200016792,B,B,F,40-49,3,Other injury,D,1,2,Drivers,V,,
T20240001586,3,A,F,18-21,4,Not injured,OR,9,3,Passengers,,,0
T20230018096,A,A,M,26-29,2,Serious injury,D,9,4,Motorcyclists,V,Y,1
T20160009920,A,A,M,40-49,3,Other injury,D,6,4,Motorcyclists,Z,Y,1
T20200014473,A,A,F,30-39,3,Other injury,D,9,2,Drivers,V,,
T20200014473,B,B,M,26-29,4,Not injured,D,9,2,Drivers,V,,
T20240005873,A,A,F,65-69,3,Other injury,D,1,2,Drivers,V,N,0
T20240005873,B,B,U,Unknown,4,Not injured,D,9,9,Not Known,Z,,9
T20230014397,A,A,M,30-39,3,Other injury,D,1,2,Drivers,V,N,0
T20230015089,B,B,F,22-25,4,Not injured,D,9,2,Drivers,V,,0
T20240004193,A,A,M,70,3,Other injury,D,6,6,Bicyclists,V,,1
T20240004193,B,B,F,30-39,4,Not injured,D,9,2,Drivers,V,,
T20230027369,B,B,M,50-59,2,Serious injury,D,6,6,Bicyclists,V,Y,1
T20210025039,1,A,F,18-21,3,Other injury,LF,1,3,Passengers,,,0
T20190003428,B,B,M,5-12,3,Other injury,D,6,6,Bicyclists,,Y,1
T20190018193,A,A,F,26-29,2,Serious injury,D,6,9,Not Known,V,Y,1
T20190025219,A,A,M,50-59,3,Other injury,D,1,2,Drivers,V,,
T20210025039,A,A,F,18-21,3,Other injury,D,1,2,Drivers,Z,,0
T20240007985,B,B,M,30-39,3,Other injury,D,9,6,Bicyclists,V,,1
T20180022964,2,B,F,18-21,4,Not injured,NK,8,9,Not Known,,,0
T20180022964,A,A,M,26-29,3,Other injury,D,1,2,Drivers,V,Y,0
T20180022964,1,C,M,50-59,4,Not injured,NK,8,9,Not Known,,,0
