ACCIDENT_NO,VEHICLE_ID,VEHICLE_YEAR_MANUF,VEHICLE_DCA_CODE,INITIAL_DIRECTION,ROAD_SURFACE_TYPE,ROAD_SURFACE_TYPE_DESC,REG_STATE,VEHICLE_BODY_STYLE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_POWER,VEHICLE_TYPE,VEHICLE_TYPE_DESC,VEHICLE_WEIGHT,CONSTRUCTION_TYPE,FUEL_TYPE,NO_OF_WHEELS,NO_OF_CYLINDERS,SEATING_CAPACITY,TARE_WEIGHT,TOTAL_NO_OCCUPANTS,CARRY_CAPACITY,CUBIC_CAPACITY,FINAL_DIRECTION,DRIVER_INTENT,VEHICLE_MOVEMENT,TRAILER_TYPE,VEHICLE_COLOUR_1,VEHICLE_COLOUR_2,CAUGHT_FIRE,INITIAL_IMPACT,LAMPS,LEVEL_OF_DAMAGE,TOWED_AWAY_FLAG,TRAFFIC_CONTROL,TRAFFIC_CONTROL_DESC
T20120000009,A,1996,1,E,1,Paved,V,SEDAN,HOLDEN,ACCLAI,,1,Car,,R,P,4,6,5,1350,2,,,E,1,18,H,WHI,ZZ,2,1,1,5,1,0,No control
T20120000012,A,2002,1,W,1,Paved,V,SEDAN,HOLDEN,MONARO,,1,Car,,R,P,4,8,4,1600,2,,,W,1,1,H,BLU,ZZ,2,1,1,2,2,1,Stop-go lights
T20120000012,B,1988,2,S,1,Paved,V,SEDAN,TOYOTA,,,1,Car,1450,R,P,4,4,5,1150,1,300,,S,1,1,H,WHI,ZZ,2,5,9,4,1,1,Stop-go lights
T20120000013,A,1997,1,N,1,Paved,V,SEDAN,MITSUB,MAGNA,,1,Car,,R,P,4,4,5,1300,1,,,N,1,18,H,GLD,ZZ,2,5,1,4,1,0,No control
T20120000013,B,2010,2,N,1,Paved,V,WAGON,TOYOTA,,,2,Station Wagon,,R,P,4,6,7,2250,0,,,N,11,11,H,BLK,ZZ,2,4,2,4,2,0,No control
T20120000018,A,1983,1,W,1,Paved,Q,SED,TOYOTA,COROLL,,1,Car,,,Z,,4,5,910,1,,,N,2,18,H,YLW,ZZ,2,5,1,5,2,0,No control
T20120000021,A,1998,1,NE,1,Paved,V,SEDAN,TOYOTA,CAMRY,,1,Car,,R,P,4,4,5,1300,3,,,NE,1,18,H,GLD,ZZ,2,F,2,3,1,0,No control
T20120000028,A,1996,1,SE,1,Paved,V,S WAG,L ROV,RANGE,,2,Station Wagon,,R,P,4,8,5,2040,1,,,SE,3,3,H,BLU,ZZ,2,6,2,5,1,0,No control
T20120000032,A,2008,1,NE,1,Paved,V,SED,HOLDEN,OMEGA,,3,Taxi,,R,M,4,6,5,1622,1,,,NE,1,1,H,YLW,ZZ,2,N,1,6,2,0,No control
T20120000043,A,2006,2,SE,1,Paved,V,WAGON,TOYOTA,LANDCR,,2,Station Wagon,,R,D,4,6,8,2464,2,,,SE,1,1,H,SIL,ZZ,2,8,1,5,1,0,No control
T20120000043,B,2007,1,S,1,Paved,V,SEDAN,MITSUB,LANCER,,1,Car,,R,P,4,4,5,1335,1,,,SE,3,18,H,BLU,ZZ,2,1,1,4,1,10,Stop sign
T20120000044,A,2004,1,N,1,Paved,V,WAGON,TOYOTA,LANDCR,,2,Station Wagon,3260,R,D,4,6,8,2588,1,672,4200,N,1,19,H,SIL,ZZ,2,9,2,1,2,0,No control
T20120000044,B,1996,2,S,1,Paved,V,S WAG,TOYOTA,CAMRY,,2,Station Wagon,,R,P,4,4,5,1450,1,,,S,1,1,H,WHI,ZZ,2,F,2,3,1,0,No control
T20120000046,A,2001,1,E,1,Paved,V,WAGON,HOLDEN,JACKAR,,2,Station Wagon,,R,M,4,6,7,1350,1,,,E,1,1,H,WHI,ZZ,2,F,2,1,2,0,No control
T20120000050,A,,1,N,1,Paved,,,,,,13,Bicycle,,,,,,,,1,,,N,1,7,H,ZZ,ZZ,0,5,2,1,2,0,No control
T20120000053,A,2011,2,NW,3,Gravel,V,WAGON,SUBARU,FOREST,,2,Station Wagon,,R,P,4,4,5,1440,3,,,NW,1,1,H,GRY,ZZ,2,F,2,4,1,11,Giveway sign
T20120000053,B,1997,1,SE,3,Gravel,V,SEDAN,HOLDEN,VTPC97,,1,Car,,R,P,4,6,5,1350,4,,3800,SW,2,2,H,BLU,ZZ,2,6,2,4,1,11,Giveway sign
T20120000054,A,1997,2,S,1,Paved,V,S WAG,FORD,F MONT,,2,Station Wagon,,R,M,4,6,5,1550,1,,,S,1,1,H,BLU,ZZ,2,8,2,1,2,1,Stop-go lights
T20120000054,B,2007,1,W,1,Paved,V,SOLO,H DAV,XL883L,,10,Motor Cycle,,,P,2,2,,,1,,800,S,3,3,H,BLK,ZZ,2,F,2,1,2,1,Stop-go lights
T20120000056,A,1996,1,NW,1,Paved,V,SEDAN,DAEWOO,ESPERO,,1,Car,,R,P,4,4,5,1050,2,,,NW,1,1,H,GRN,ZZ,2,1,2,4,1,0,No control
T20120000058,A,,1,S,1,Paved,V,CYCLE,YAMAHA,,,10,Motor Cycle,,,Z,,,,,1,,,E,3,18,H,ZZ,ZZ,2,F,2,3,2,9,Roundabout
