Date,Year,Month,Day,DOW,Public holiday,Adelaide,Brisbane,Canberra,Darwin,Hobart,Melbourne,Perth,Sydney,Number,National_holiday,,,,,,,,,,,,,,,
1/1/2012,2012,1,1,Sunday,New Year's Day,,1,1,1,,1,1,1,6,FALSE,,,,,,,,,,,,,,,
2/1/2012,2012,1,2,Monday,New Year's Day Observance,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
26/1/2012,2012,1,26,Thursday,Australia Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
13/2/2012,2012,2,13,Monday,Royal Hobart Regatta,,,,,1,,,,1,FALSE,,,,,,,,,,,,,,,
5/3/2012,2012,3,5,Monday,Labour Day,,,,,,,1,,1,FALSE,,,,,,,,,,,,,,,
12/3/2012,2012,3,12,Monday,"Adelaide Cup, Canberra Day, Eight Hours Day & Labour Day",1,,1,,1,1,,,4,FALSE,,,,,,,,,,,,,,,
6/4/2012,2012,4,6,Friday,Good Friday,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
7/4/2012,2012,4,7,Saturday,Easter Saturday,1,1,1,1,,1,,1,6,FALSE,,,,,,,,,,,,,,,
8/4/2012,2012,4,8,Sunday,Easter Sunday,,,,,,,,1,1,FALSE,,,,,,,,,,,,,,,
9/4/2012,2012,4,9,Monday,Easter Monday,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
25/4/2012,2012,4,25,Wednesday,ANZAC Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
7/5/2012,2012,5,7,Monday,Labour Day & May Day,,1,,1,,,,,2,FALSE,,,,,,,,,,,,,,,
4/6/2012,2012,6,4,Monday,Western Australia Day,,,,,,,1,,1,FALSE,,,,,,,,,,,,,,,
11/6/2012,2012,6,11,Monday,Queen's Birthday / Queen's Diamond Jubilee,1,1,1,1,1,1,,1,7,FALSE,,,,,,,,,,,,,,,
6/8/2012,2012,8,6,Monday,Picnic Day,,,,1,,,,,1,FALSE,,,,,,,,,,,,,,,
15/8/2012,2012,8,15,Wednesday,Royal Queensland Show,,1,,,,,,,1,FALSE,,,,,,,,,,,,,,,
1/10/2012,2012,10,1,Monday,Labour Day & Queen's Birthday,1,1,1,,,,1,1,5,FALSE,,,,,,,,,,,,,,,
8/10/2012,2012,10,8,Monday,Family and Community Day,,,1,,,,,,1,FALSE,,,,,,,,,,,,,,,
25/10/2012,2012,10,25,Thursday,Royal Hobart Show,,,,,1,,,,1,FALSE,,,,,,,,,,,,,,,
6/11/2012,2012,11,6,Tuesday,Melbourne Cup,,,,,,1,,,1,FALSE,,,,,,,,,,,,,,,
25/12/2012,2012,12,25,Tuesday,Christmas Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
26/12/2012,2012,12,26,Wednesday,Boxing Day & Proclamation Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
1/1/2013,2013,1,1,Tuesday,New Year's Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
28/1/2013,2013,1,28,Monday,Australia Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
11/2/2013,2013,2,11,Monday,Royal Hobart Regatta,,,,,1,,,,1,FALSE,,,,,,,,,,,,,,,
4/3/2013,2013,3,4,Monday,Labour Day,,,,,,,1,,1,FALSE,,,,,,,,,,,,,,,
